Neighbourhood,Latitude,Longitude
Batu Ferringhi,5.47067063,100.2480126
Tanjung Bungah,5.46041777,100.2858067
Seri Tanjung Pinang,5.45378179,100.3106689
Tanjung Tokong,5.44996537,100.3049469
Pulau Tikus,5.43153794,100.311842
Air Itam,5.40146045,100.2780247
Farlim,5.39203244,100.284977
Paya Terubong,5.37659412,100.2754212
Dato Keramat,5.41276816,100.3165054
George Town,5.41726842,100.337534
Sungai Pinang,5.40251432,100.3240585
Batu Lanchang,5.39003857,100.3066063
Jelutong,5.38727565,100.3145885
Gelugor,5.36804874,100.310154
Sungai Dua,5.35215403,100.298996
Batu Uban,5.35164129,100.3078366
Sungai Nibong,5.336088,100.3004551
Relau,5.3385663,100.2753067
Bayan Baru,5.32435157,100.2852631
Sungai Ara,5.32033492,100.2687836
Sungai Tiram,5.320287216,100.2733326
Bayan Lepas,5.29455367,100.2611733
Batu Maung,5.28577925,100.2814865
Permatang Damar Laut,5.27669133,100.2699852
Teluk Kumbar,5.29036589,100.232563
